METHOD,TIME
Shading mask EIGEN CAST RNG,9.11179
Shading mask EIGEN VECTORIZED RNG,9.49105
Shading mask STD RNG,9.16874
Shading mask PCG RNG,9.32023
Shading mask XOSHIRO RNG,9.42693
Shading mask MIX RNG,9.28587
Shading mask EIGEN RNG,9.23277
Shading mask EIGEN CAST RNG,9.42134
Shading mask EIGEN VECTORIZED RNG,9.31642
Shading mask STD RNG,9.1193
Shading mask PCG RNG,9.2322
Shading mask XOSHIRO RNG,9.18227
Shading mask MIX RNG,9.12592
Shading mask EIGEN RNG,9.28236
Shading mask EIGEN CAST RNG,9.38465
Shading mask EIGEN VECTORIZED RNG,9.36581
Shading mask STD RNG,9.10996
Shading mask PCG RNG,9.27032
Shading mask XOSHIRO RNG,9.39305
Shading mask MIX RNG,9.52908
Shading mask EIGEN RNG,9.49332
Shading mask EIGEN CAST RNG,9.30112
Shading mask EIGEN VECTORIZED RNG,9.35755
Shading mask STD RNG,9.21483
Shading mask PCG RNG,9.33401
Shading mask XOSHIRO RNG,9.59249
Shading mask MIX RNG,9.24989
Shading mask EIGEN RNG,9.7162
Shading mask EIGEN CAST RNG,9.45828
Shading mask EIGEN VECTORIZED RNG,9.33436
Shading mask STD RNG,9.22207
Shading mask PCG RNG,9.15202
Shading mask XOSHIRO RNG,9.23133
Shading mask MIX RNG,9.5747
Shading mask EIGEN RNG,9.08813
Shading mask EIGEN CAST RNG,9.4054
Shading mask EIGEN VECTORIZED RNG,9.26643
Shading mask STD RNG,9.06007
Shading mask PCG RNG,9.00054
Shading mask XOSHIRO RNG,9.28661
Shading mask MIX RNG,9.04893
Shading mask EIGEN RNG,9.30291
Shading mask EIGEN CAST RNG,9.2488
Shading mask EIGEN VECTORIZED RNG,9.41804
Shading mask STD RNG,9.45981
Shading mask PCG RNG,9.17316
Shading mask XOSHIRO RNG,9.28826
Shading mask MIX RNG,9.2341
Shading mask EIGEN RNG,9.19836
Shading mask EIGEN CAST RNG,9.1334
Shading mask EIGEN VECTORIZED RNG,9.32312
Shading mask STD RNG,9.27843
Shading mask PCG RNG,9.27176
Shading mask XOSHIRO RNG,9.26302
Shading mask MIX RNG,9.30082
Shading mask EIGEN RNG,9.42962
Shading mask EIGEN CAST RNG,9.41512
Shading mask EIGEN VECTORIZED RNG,9.30411
Shading mask STD RNG,9.30427
Shading mask PCG RNG,9.52998
Shading mask XOSHIRO RNG,9.5162
Shading mask MIX RNG,9.66531
Shading mask EIGEN RNG,9.5348
Shading mask EIGEN CAST RNG,9.60745
Shading mask EIGEN VECTORIZED RNG,9.52905
Shading mask STD RNG,9.44755
Shading mask PCG RNG,9.51695
Shading mask XOSHIRO RNG,9.4184
Shading mask MIX RNG,9.57787
Shading mask EIGEN RNG,9.58095
Shading mask EIGEN CAST RNG,9.5289
Shading mask EIGEN VECTORIZED RNG,9.76967
Shading mask STD RNG,10.0869
Shading mask PCG RNG,9.66975
Shading mask XOSHIRO RNG,10.0272
Shading mask MIX RNG,10.1451
Shading mask EIGEN RNG,9.48448
Shading mask EIGEN CAST RNG,10.0546
Shading mask EIGEN VECTORIZED RNG,9.90919
Shading mask STD RNG,9.94086
Shading mask PCG RNG,9.83627
Shading mask XOSHIRO RNG,9.85269
Shading mask MIX RNG,10.081
Shading mask EIGEN RNG,9.97609
Shading mask EIGEN CAST RNG,10.0687
Shading mask EIGEN VECTORIZED RNG,10.0692
Shading mask STD RNG,10.0581
Shading mask PCG RNG,9.77197
Shading mask XOSHIRO RNG,9.75109
Shading mask MIX RNG,9.77781
Shading mask EIGEN RNG,9.81864
Shading mask EIGEN CAST RNG,10.6811
Shading mask EIGEN VECTORIZED RNG,10.9277
Shading mask STD RNG,9.75072
Shading mask PCG RNG,9.78564
Shading mask XOSHIRO RNG,10.0484
Shading mask MIX RNG,9.74946
Shading mask EIGEN RNG,9.71082
Shading mask EIGEN CAST RNG,9.52788
Shading mask EIGEN VECTORIZED RNG,10.2742
